recinto,registros,funciones,aforo_max
TEATRO MAYOR JULIO MARIO SANTO DOMINGO,3238,288,1303
SALA 3 CINEMATECA,2392,2392,75
SALA CAPITAL CINEMATECA,2379,2379,271
SALA 2 CINEMATECA,2235,2235,75
MOVISTAR ARENA,2101,242,13413
"YAWA, CENTRO DE CIENCIA, ARTE Y TECNOLOGIA - CALI",1476,1476,120
TREN TURISTICO,1158,366,858
TEATRO EL TESORO,878,643,938
MALOKA,864,864,309
ESTADIO PALOGRANDE - MANIZALES,812,78,35600
BOOM STAND UP BAR - BOGOTA,810,810,330
CENTRO NACIONAL DE LAS ARTES - SALA TEATRO COLON CLL10 #5-32,778,102,771
ESTADIO EL CAMPIN,716,48,46678
TEATRO JORGE ELIECER GAITAN,603,134,1725
TEATRO SANTANDER,545,164,1000
TEATRO COLSUBSIDIO,494,46,1017
TEATRO PETRA,471,471,160
ESTADIO PASCUAL GUERRERO,458,48,44037
TEATRO ASTOR PLAZA,458,134,1222
PLANETARIO DE BOGOTA,424,422,10000
TEATRO METROPOLITANO DE MEDELLIN,399,115,1634
AUDITORIO FABIO LOZANO,394,132,590
CARPA DELIRIO,385,18,1797
TEATRO ESTUDIO - JULIO MARIO SANTO DOMINGO,381,227,328
TEATRO MUNICIPAL ENRIQUE BUENAVENTURA,322,51,1033
CENTRO NACIONAL DE LAS ARTES - SALA DELIA ZAPATA,311,131,503
MUSEO LA TERTULIA,303,303,2000
BOOM STAND UP BAR - CL 26 #43G-30 BARRIO COLOMBIA,252,252,300
TRANSPORTE,221,221,10000
ESTADIO ATANASIO GIRARDOT,218,13,55011
TEATRO ADOLFO MEJIA,200,18,634
CENTRO NACIONAL DE LAS ARTES - SALA FANNY MIKEY,199,199,400
COMPLEJO CULTURAL DELIRIO,193,193,1000
ESTADIO MANUEL MURILLO TORO,190,35,26402
ESTADIO METROPOLITANO DE TECHO,178,40,8078
TEATRO FUNDADORES,167,63,1233
TEATRO CAFAM - AV CAR 68 NO 90 - 88,155,19,967
GRAN MALECON BARRANQUILLA,151,151,9000
PARQUE NORTE,142,39,50000
ESTADIO ROMELIO MARTINEZ,142,19,21181
TEATRO EL PARQUE,141,141,171
TEATRO PABLO TOBON URIBE,139,60,1013
BELLO CANCHAS DE COMFAMA ( PARQUE FABRICATO),138,23,460
SALA DE CONCIERTOS DE LA BIBLIOTECA LUIS ANGEL ARANGO,129,129,367
ESTADIO BELLO HORIZONTE - REY PELE (VILLAVICENCIO),123,26,19268
TEATRO JORGE ISAACS - CRA 3 #12-28 CALI,120,25,1236
BARRIO LAS FLORES TAJAMAR,108,108,3200
PARQUE DE LA LEYENDA VALLENATA,104,10,16701
TEATRO SANTIAGO LONDOO,102,23,876
ESTADIO GUILLERMO PLAZAS ALCID,100,33,9500
ESTADIO LA INDEPENDENCIA,92,32,15571
"TEATRO EL ENSUEO - TV 70 D # 60 - 90 SUR, BOGOTA",92,49,795
TEATRO CHARLOT,89,89,200
TEATRO ESCUELA,86,86,300
ESTADIO EDGAR RENTERIA,84,46,9208
CUCUTA ESTADIO GENERAL SANTANDER,84,17,29000
TEATRO WILLIAM SHAKESPEARE - CALLE 153 # 17 - 29,79,27,551
FUNDACION TEATRO CALIMA,76,52,1184
AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA,74,38,26100
ESTADIO METROPOLITANO,70,13,45904
CENTRO COMERCIAL SERREZUELA,70,14,556
SALA GAITAN,69,69,168
TEATRO UNIVERSIDAD DE MEDELLIN,66,16,1702
COLISEO MAYOR JORGE ARANGO URIBE,63,9,1965
CENTRO NACIONAL DE LAS ARTES - SALA TEATRO,63,7,771
SALON AUDIOVISUAL,60,60,100
POLIDEPORTIVO SUR,58,38,10500
NECTAR ARENA CENTRO DE EVENTOS,53,7,10499
ROYAL CENTER,50,17,3200
"TEATRO LA CONCHA - CL 4 #10-48, CALI, VALLE DEL CAUCA",49,49,76
CENTRO DE CONVENCIONES CARTAGENA,45,7,1800
LA GALLERA,44,44,300
COLISEO ELIAS CHEGWIN,42,20,2650
BIBLOS CAR WASH,42,4,6213
TEATRO MUNICIPAL GUADALAJARA DE BUGA,40,9,500
AVENIDA BOYACA CLL 78- 80,40,10,1002
CAPILLA SANTA CLARA,38,14,300
COLISEO DEL COLEGIO DE LA PRESENTACION,37,17,5264
PARQUE NORTE - LA SOLAR,37,6,9000
TEATRO JOSE CONSUEGRA HIGGINS,36,16,720
AUDITORIO UNIVERSIDAD NACIONAL MANIZALES - CRA 27 #62-56,36,36,500
