site,type_site,confianza,aforo_max,funciones,fecha_clasificacion,fuente,modelo_llm
TEATRO MAYOR JULIO MARIO SANTO DOMINGO,teatro,0.985,1303,288,2026-09-24,reglas_heuristicas,
SALA 3 CINEMATECA,cine_sala_cultural,0.985,75,2392,2026-09-24,reglas_heuristicas,
SALA CAPITAL CINEMATECA,cine_sala_cultural,0.985,271,2379,2026-09-24,reglas_heuristicas,
SALA 2 CINEMATECA,cine_sala_cultural,0.985,75,2235,2026-09-24,reglas_heuristicas,
MOVISTAR ARENA,arena_cubierta,0.985,13413,242,2026-09-24,reglas_heuristicas,
"YAWA, CENTRO DE CIENCIA, ARTE Y TECNOLOGIA - CALI",cine_sala_cultural,0.985,120,1476,2026-09-24,reglas_heuristicas,
TREN TURISTICO,otro,0.985,858,366,2026-09-24,reglas_heuristicas,
TEATRO EL TESORO,teatro,0.985,938,643,2026-09-24,reglas_heuristicas,
MALOKA,cine_sala_cultural,0.985,309,864,2026-09-24,reglas_heuristicas,
ESTADIO PALOGRANDE - MANIZALES,estadio_abierto,0.985,35600,78,2026-09-24,reglas_heuristicas,
BOOM STAND UP BAR - BOGOTA,bar_club,0.985,330,810,2026-09-24,reglas_heuristicas,
CENTRO NACIONAL DE LAS ARTES - SALA TEATRO COLON CLL10 #5-32,teatro,0.985,771,102,2026-09-24,reglas_heuristicas,
ESTADIO EL CAMPIN,estadio_abierto,0.985,46678,48,2026-09-24,reglas_heuristicas,
TEATRO JORGE ELIECER GAITAN,teatro,0.985,1725,134,2026-09-24,reglas_heuristicas,
TEATRO SANTANDER,teatro,0.985,1000,164,2026-09-24,reglas_heuristicas,
TEATRO COLSUBSIDIO,teatro,0.985,1017,46,2026-09-24,reglas_heuristicas,
TEATRO PETRA,teatro,0.985,160,471,2026-09-24,reglas_heuristicas,
ESTADIO PASCUAL GUERRERO,estadio_abierto,0.985,44037,48,2026-09-24,reglas_heuristicas,
TEATRO ASTOR PLAZA,teatro,0.985,1222,134,2026-09-24,reglas_heuristicas,
PLANETARIO DE BOGOTA,cine_sala_cultural,0.985,10000,422,2026-09-24,reglas_heuristicas,
TEATRO METROPOLITANO DE MEDELLIN,teatro,0.985,1634,115,2026-09-24,reglas_heuristicas,
AUDITORIO FABIO LOZANO,auditorio,0.93,590,132,2026-09-24,reglas_heuristicas,
CARPA DELIRIO,centro_eventos_carpa,0.985,1797,18,2026-09-24,reglas_heuristicas,
TEATRO ESTUDIO - JULIO MARIO SANTO DOMINGO,teatro,0.985,328,227,2026-09-24,reglas_heuristicas,
TEATRO MUNICIPAL ENRIQUE BUENAVENTURA,teatro,0.985,1033,51,2026-09-24,reglas_heuristicas,
CENTRO NACIONAL DE LAS ARTES - SALA DELIA ZAPATA,teatro,0.985,503,131,2026-09-24,reglas_heuristicas,
MUSEO LA TERTULIA,cine_sala_cultural,0.985,2000,303,2026-09-24,reglas_heuristicas,
BOOM STAND UP BAR - CL 26 #43G-30 BARRIO COLOMBIA,bar_club,0.985,300,252,2026-09-24,reglas_heuristicas,
TRANSPORTE,otro,0.985,10000,221,2026-09-24,reglas_heuristicas,
ESTADIO ATANASIO GIRARDOT,estadio_abierto,0.985,55011,13,2026-09-24,reglas_heuristicas,
TEATRO ADOLFO MEJIA,teatro,0.985,634,18,2026-09-24,reglas_heuristicas,
CENTRO NACIONAL DE LAS ARTES - SALA FANNY MIKEY,teatro,0.985,400,199,2026-09-24,reglas_heuristicas,
COMPLEJO CULTURAL DELIRIO,centro_eventos_carpa,0.985,1000,193,2026-09-24,reglas_heuristicas,
ESTADIO MANUEL MURILLO TORO,estadio_abierto,0.985,26402,35,2026-09-24,reglas_heuristicas,
ESTADIO METROPOLITANO DE TECHO,estadio_abierto,0.985,8078,40,2026-09-24,reglas_heuristicas,
