site,propuesta_a,propuesta_b,confianza_media,aforo_max,funciones,motivo_revision,type_site_sugerido
BARRIO LAS FLORES TAJAMAR,bar_club,otro,0.73,3200,108,Desacuerdo entre pasadas,otro
CENTRO COMERCIAL SERREZUELA,otro,otro,0.575,556,14,Baja confianza (< 0.85),otro
SALON AUDIOVISUAL,otro,otro,0.685,100,60,Baja confianza (< 0.85),cine_sala_cultural
LA GALLERA,otro,otro,0.575,300,44,Baja confianza (< 0.85),otro
AVENIDA BOYACA CLL 78- 80,otro,parque_aire_libre,0.745,1002,10,Desacuerdo entre pasadas,parque_aire_libre
CAPILLA SANTA CLARA,otro,otro,0.725,300,14,Baja confianza (< 0.85),otro
CENTRO COMERCIAL LOS MOLINOS,otro,otro,0.575,700,15,Baja confianza (< 0.85),otro
LA CASA DEL OSO,bar_club,otro,0.685,200,18,Desacuerdo entre pasadas,bar_club
CARRUSEL DEL RIO,centro_eventos_carpa,otro,0.625,4140,9,Desacuerdo entre pasadas,parque_aire_libre
LOTE FRENDE AL HOMCENTER,otro,otro,0.575,300,4,Baja confianza (< 0.85),parque_aire_libre
CAPILLA SANTA TERESA,otro,otro,0.785,216,4,Baja confianza (< 0.85),otro
CIUDADELA CUARTA REVOLUCION Y TRANSFORMACION DEL APRENDIZAJE,otro,otro,0.575,400,16,Baja confianza (< 0.85),otro
LE TIENDE - CARRERA 24 # 37-44 BOGOTA,otro,parque_aire_libre,0.805,70,14,Desacuerdo entre pasadas,bar_club
CITY HALL EL RODEO - MEDELLIN,otro,centro_eventos_carpa,0.76,3900,3,Desacuerdo entre pasadas,centro_eventos_carpa
CITY HALL - PAUL VAN DYK MEDELLIN,otro,centro_eventos_carpa,0.76,3910,2,Desacuerdo entre pasadas,centro_eventos_carpa
TUTAINA EJE CAFETERO - PEREIRA,bar_club,otro,0.685,150,12,Desacuerdo entre pasadas,bar_club
CINCUENTENARIO,centro_eventos_carpa,centro_eventos_carpa,0.69,10450,3,Baja confianza (< 0.85),parque_aire_libre
SALA MARIA ISABEL MURILLO,otro,teatro,0.77,70,12,Desacuerdo entre pasadas,teatro
LAS TERRAZAS RIO LUNA,otro,otro,0.575,1089,2,Baja confianza (< 0.85),otro
SALA BEETHOVEN - CALI,otro,teatro,0.7,653,11,Desacuerdo entre pasadas,teatro
SALA ANTONIO MARIA VALENCIA  - CALI,otro,teatro,0.7,653,11,Desacuerdo entre pasadas,teatro
PLAZA PRINCIPAL,otro,parque_aire_libre,0.745,650,2,Desacuerdo entre pasadas,parque_aire_libre
FACULTAD DE ARTES – UNIVERSIDAD JAVERIANA,otro,auditorio,0.775,12,10,Desacuerdo entre pasadas,auditorio
RUMBODROMO DE LA 22,centro_eventos_carpa,centro_eventos_carpa,0.69,8421,1,Baja confianza (< 0.85),centro_eventos_carpa
