algoritmo,k_param,k_efectivo,outliers_pct,bic,silhouette,davies_bouldin,calinski_harabasz,bootstrap_ari_mean,bootstrap_ari_std,pureza_tag_ponderada,pureza_term_ponderada,pureza_naming_ponderada,pct_clusters_puros,min_size,median_size,pct_min_size,clusters_degenerados,pasa_candidato,tiempo_seg
K-Means,8,8,0.0,,0.2147,1.6273,1055.7,0.7405,0.1298,0.6371,0.5242,0.6371,50.0,812,2430.5,4.41,0,False,0.51
K-Means,10,10,0.0,,0.224,1.6197,980.4,0.7875,0.1147,0.6704,0.5556,0.6704,50.0,815,1994.0,4.43,0,False,0.54
K-Means,12,12,0.0,,0.2235,1.4601,899.4,0.7493,0.0925,0.6538,0.5383,0.6543,50.0,416,1588.0,2.26,0,False,0.68
K-Means,14,14,0.0,,0.2258,1.4866,840.9,0.7824,0.0758,0.6762,0.5545,0.6762,57.1,405,1302.0,2.2,0,False,0.79
K-Means,16,16,0.0,,0.2301,1.4733,798.7,0.7823,0.066,0.72,0.6017,0.72,68.8,405,1119.0,2.2,0,False,1.15
GMM,8,8,0.0,-4466024.0,0.1266,3.6441,392.0,0.7094,0.1056,0.7291,0.6189,0.7291,50.0,706,2461.0,3.84,0,False,4.94
GMM,10,10,0.0,-4651028.1,0.1208,3.8096,298.9,0.7153,0.1005,0.7435,0.6263,0.7435,40.0,218,1769.5,1.18,2,False,7.89
GMM,12,12,0.0,-4807078.1,0.0731,3.3196,265.9,0.6422,0.0715,0.7268,0.6151,0.7268,41.7,281,1626.0,1.53,1,False,8.45
GMM,14,14,0.0,-4929094.7,0.089,3.4479,312.8,0.64,0.0552,0.7264,0.6151,0.7264,50.0,186,1104.0,1.01,2,False,17.43
GMM,16,16,0.0,-5024943.7,0.0798,2.7201,291.0,0.6551,0.0791,0.7651,0.6374,0.7651,56.2,115,911.5,0.62,4,False,19.2
HDBSCAN,1.0%,25,20.74,,0.2353,1.3361,449.0,0.7863,0.0337,0.8637,0.7294,0.8637,76.0,186,384.0,1.01,11,False,6.41
HDBSCAN,1.5%,20,26.0,,0.2313,1.2716,456.0,0.525,0.0059,0.8641,0.7735,0.8641,75.0,285,408.5,1.55,8,False,6.76
HDBSCAN,2.0%,11,18.11,,0.1705,1.545,415.2,0.8374,0.0059,0.7741,0.6774,0.7741,90.9,382,807.0,2.08,0,False,7.11
